Aspect,Ground Truth,BERT,BART,GPT
Allow the site to use cookies and tracking technology,Yes,TP,TP,TP
Allow users to opt out of communications,Yes,TP,TP,TP
Allow users to access update or delete their personal information,Yes,FN,FN,FN
Permit sharing of personal information with third-party service providers,Yes,FN,FN,FN
Enable data portability for users,Yes,FN,FN,FN
Retain personal data for business or legal purposes,Yes,FN,FN,FN
Share data to comply with legal obligations,Yes,FN,FN,FN
Collect and process device and location information,Yes,FN,FN,FN
Store and transfer data internationally,Yes,FN,FN,FN
Allow withdrawal of user consent,Yes,FN,FN,FN
