Aspect,Ground Truth,BERT,BART,GPT
Allow users to opt out of communications,Yes,TP,TP,TP
Access and update account information,Yes,TP,TP,TP
Allow the site to use cookies and tracking technology,Yes,TP,TP,TP
Permit sharing of your information with third parties,Yes,TP,TP,TP
Collect and process location-based information,Yes,TP,TP,TP
Allow data to be transferred and stored internationally,Yes,FN,FN,TP
Enable data portability for users,Yes,FN,FN,FN
Retain personal data for security compliance and fraud prevention,Yes,FN,FN,FN
Enable personalized ads and content,Yes,FN,FN,FN
Allow integration with third-party APIs and services,Yes,FN,FN,FN
Respond to legal requests and investigations,Yes,FN,FN,FN
Allow withdrawal of user consent for data processing,Yes,FN,FN,FN
Use automated systems to analyze user content,Yes,FN,FN,FN
Allow users to manage public visibility of their data,Yes,FN,FN,FN
