Aspect,Ground Truth,BERT,BART,GPT
Allow the site to use cookies and tracking technology,Yes,TP,TP,TP
Allow users to opt out of communications,Yes,TP,TP,TP
Permit sharing of your information with third parties,Yes,TP,TP,TP
Access and update account information,Yes,TP,TP,TP
Collect and process location-based information,Yes,TP,TP,TP
Retain personal data for fraud prevention security and legal compliance,Yes,TP,TP,TP
Enable personalized advertising and recommendations,Yes,FN,TP,TP
Allow integration with third-party tools and APIs,Yes,FN,FN,FN
Allow sharing of aggregated or anonymized data,Yes,FN,FN,FN
Allow international transfers and storage of user data,Yes,FN,FN,FN
Provide security measures to protect personal data,Yes,FN,FN,FN
Allow users to withdraw consent for specific data processing activities,Yes,FN,FN,TP
