Aspect,Ground Truth,BERT,BART,GPT
Allow the site to use cookies and tracking technology,Yes,TP,TP,TP
Permit sharing of your information with third parties,Yes,TP,TP,TP
Allow users to access update or delete their account information,Yes,FN,FN,TP
Send marketing communications to users,Yes,FN,TP,TP
Use personal data for personalized ads and content,Yes,FN,FN,FN
Enable face recognition for tagging and personalization,Yes,FN,FN,FN
Collect and process location-based information,Yes,FN,FN,FN
Retain data for security fraud prevention and legal compliance,Yes,FN,FN,FN
Allow data portability requests,Yes,FN,FN,FN
Share anonymized or aggregated data for research purposes,Yes,FN,FN,FN
Allow third-party integrations and APIs to access user data,Yes,FN,FN,FN
Transfer and store user data globally,Yes,FN,FN,FN
Respond to legal requests and investigations,Yes,FN,FN,FN
