Aspect,Ground Truth,BERT,BART,GPT
Allow the site to use cookies and tracking technology,Yes,TP,TP,TP
Access and update account information,Yes,TP,TP,TP
Permit sharing of information with third-party service providers,Yes,FN,FN,FN
Collect and process payment and financial information,Yes,TP,TP,TP
Allow communications for membership management,Yes,FN,FN,FN
Retain personal data for fraud prevention and legal compliance,Yes,FN,FN,FN
Enable opt-in communications for newsletters and updates,Yes,FN,FN,FN
Allow disclosure of information for legal and regulatory requirements,Yes,FN,FN,TP
Use of encryption and security measures to protect user data,Yes,FN,FN,FN
Store data in controlled facilities with limited access,Yes,FN,FN,FN
