Aspect,Ground Truth,BERT,BART,GPT
Allow the site to use cookies and tracking technology,Yes,TP,TP,TP
Send important notifications to users,Yes,TP,TP,TP
Allow users to access update or delete their account information,Yes,FN,FN,FN
Permit sharing of information with third-party service providers,Yes,FN,FN,FN
Enable personalized advertising,Yes,FN,FN,FN
Collect and process location-based information,Yes,FN,FN,FN
Allow users to manage public visibility of their data,Yes,FN,FN,FN
Allow international data transfers,Yes,FN,FN,FN
Allow withdrawal of user consent for data processing,Yes,FN,FN,FN
Retain data for security and legal compliance,Yes,FN,FN,FN
