Aspect,Ground Truth,BERT,BART,GPT
Allow the site to use cookies and tracking technology,Yes,TP,TP,TP
Send important notifications to users,Yes,TP,TP,TP
Allow users to access update or delete their account information,Yes,FN,FN,FN
Permit sharing of personal information with third-party service providers,Yes,FN,FN,FN
Collect and process payment and transaction information,Yes,FN,FN,FN
Retain personal data for fraud prevention security and legal compliance,Yes,FN,TP,TP
Enable personalized advertising and recommendations,Yes,FN,FN,FN
Allow sharing of user-generated content publicly,Yes,FN,FN,FN
Allow collection of location-based and device information,Yes,FN,FN,TP
Allow international transfers and storage of user data,Yes,FN,FN,FN
Provide data encryption and security measures,Yes,FN,FN,FN
Allow integration with third-party tools and APIs,Yes,FN,FN,FN
Respond to legal and regulatory requests,Yes,FN,FN,FN
