Aspect,Ground Truth,BERT,BART,GPT
Allow the site to use cookies and tracking technology,Yes,TP,TP,TP
Permit sharing of your information with third parties,Yes,TP,TP,TP
Collect and process payment and financial information,Yes,FN,TP,TP
Allow the collection and use of location-based information,Yes,TP,TP,TP
Retain personal data for security fraud prevention and legal compliance,Yes,FN,FN,FN
Enable personalized advertising and promotions,Yes,FN,TP,TP
Allow data transfers and processing internationally,Yes,FN,FN,FN
Allow users to withdraw consent for data processing,Yes,FN,FN,FN
Provide encryption and security measures for data protection,Yes,FN,FN,TP
Allow the use of voice information for services,Yes,FN,FN,FN
Allow public sharing of user-generated content,Yes,FN,FN,FN
